BMW 3 Series Sedan (F30) LCI 350d xDrive 6MT (190);L4;1995,00;139 @ 4000;400 @ 1750-2500;Turbocharged Common Rail;Diesel;126,00;233,00;;42467,00;All Wheel Drive;6-speed manual;42587,00;42404,00;42586,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.27;1515;2090
BMW 3 Series Sedan (F30) LCI 330e 8AT (252);L4;1998,00;135.3 @ 5000-6500;290 @ 1350-4250;Turbocharged Direct Injection;Hybrid;49,00;225,00;;42375,00;Rear Wheel Drive;8-speed automatic (Steptronic);-;-;42371,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.27;1660;2195
AUDI A4 1.4 TFSI 6MT (150);L4;1395,00;110.3 @ 5000-6000;250 @ 1500-3500;Turbocharged Direct Injection;Gasoline;131,00;209,00;;42559,00;Front Wheel Drive;6-speed manual;7,00;42586,00;42495,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1395;1890
AUDI A4 1.4 TFSI 7AT (150);L4;1395,00;110.3 @ 5000-6000;250 @ 1500-3500;Turbocharged Direct Injection;Gasoline;129,00;209,00;;42498,00;Front Wheel Drive;7-speed automatic (S tronic);42376,00;42555,00;42526,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1450;1945
AUDI A4 2.0 TFSI 7AT (252);L4;1984,00;185.4 @ 5000-6000;370 @ 1600-4500;Turbocharged Direct Injection;Gasoline;137,00;249,00;;42435,00;Front Wheel Drive;7-speed automatic (S tronic);42467,00;5,00;42618,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1505;2000
AUDI A4 2.0 TFSI quattro 7AT (252);L4;1984,00;185.4 @ 5000-6000;370 @ 1600-4500;Turbocharged Direct Injection;Gasoline;144,00;249,00;;42587,00;All Wheel Drive;7-speed automatic (S tronic);42620,00;42465,00;42435,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1585;2080
AUDI A4 2.0 TFSI ultra 6MT (190);L4;1984,00;139.7 @ 4200-6000;320 @ 1450-4200;Turbocharged Direct Injection;Gasoline;134,00;240,00;;42407,00;Front Wheel Drive;6-speed manual;42467,00;5,00;42618,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1455;1960
AUDI A4 2.0 TFSI ultra 7AT (190);L4;1984,00;139.7 @ 4200-6000;320 @ 1450-4200;Turbocharged Direct Injection;Gasoline;122,00;240,00;;42436,00;Front Wheel Drive;7-speed automatic (S tronic);42527,00;4,00;42465,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1480;1985
AUDI A4 2.0 TDI 6MT (150);L4;1968,00;110.3 @ 3250-4200;320 @ 1500-3250;Turbocharged Common Rail;Diesel;111,00;220,00;;42621,00;Front Wheel Drive;6-speed manual;5,00;42616,00;42404,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1505;2030
AUDI A4 2.0 TDI 6MT (190);L4;1968,00;139.7 @ 3800-4200;400 @ 1750-3000;Turbocharged Common Rail;Diesel;118,00;240,00;;42558,00;Front Wheel Drive;6-speed manual;42465,00;42373,00;42494,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1525;2045
AUDI A4 2.0 TDI 7AT (150);L4;1968,00;110.3 @ 3250-4200;320 @ 1500-3250;Turbocharged Common Rail;Diesel;112,00;219,00;;42559,00;Front Wheel Drive;7-speed automatic (S tronic);42374,00;42616,00;42433,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1540;2065
AUDI A4 2.0 TDI 7AT (190);L4;1968,00;139.7 @ 3800-4200;400 @ 1750-3000;Turbocharged Common Rail;Diesel;113,00;237,00;;42558,00;Front Wheel Drive;7-speed automatic (S tronic);5,00;42616,00;42433,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1555;2075
AUDI A4 2.0 TDI quattro 7AT (190);L4;1968,00;139.7 @ 3800-4200;400 @ 1750-3000;Turbocharged Common Rail;Diesel;121,00;235,00;;42407,00;All Wheel Drive;7-speed automatic (S tronic);42434,00;42433,00;42525,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1650;2160
AUDI A4 2.0 TDI ultra 6MT (150);L4;1968,00;110.3 @ 3250-4200;320 @ 1500-3250;Turbocharged Common Rail;Diesel;101,00;209,00;;42621,00;Front Wheel Drive;6-speed manual;42525,00;42493,00;42616,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1505;2030
AUDI A4 2.0 TDI ultra 6MT (190);L4;1968,00;139.7 @ 3800-4200;400 @ 1750-3000;Turbocharged Common Rail;Diesel;102,00;209,00;;42558,00;Front Wheel Drive;6-speed manual;42586,00;42493,00;42616,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1505;2040
AUDI A4 2.0 TDI ultra 7AT (150);L4;1968,00;110.3 @ 3250-4200;320 @ 1500-3250;Turbocharged Common Rail;Diesel;105,00;209,00;;42559,00;Front Wheel Drive;7-speed automatic (S tronic);42586,00;42554,00;4,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1545;2070
AUDI A4 2.0 TDI ultra 7AT (190);L4;1968,00;139.7 @ 3800-4200;400 @ 1750-3000;Turbocharged Common Rail;Diesel;103,00;209,00;;42558,00;Front Wheel Drive;7-speed automatic (S tronic);42555,00;42493,00;4,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1545;2070
AUDI A4 3.0 TDI 7AT (218);V6;2967,00;160.3 @ 4000-5000;400 @ 1250-3750;Turbocharged Common Rail;Diesel;117,00;249,00;;42527,00;Front Wheel Drive;7-speed automatic (S tronic);42617,00;42433,00;42494,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1615;2110
AUDI A4 3.0 TDI 8AT (272);V6;2967,00;200.1 @ 3250-4250;600 @ 1500-3000;Turbocharged Common Rail;Diesel;137,00;249,00;;42434,00;All Wheel Drive;8-speed automatic (Tiptronic);42526,00;42617,00;42405,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1735;2230
AUDI A4 3.0 TDI quattro 7AT (218);V6;2967,00;160.3 @ 4000-5000;400 @ 1250-3750;Turbocharged Common Rail;Diesel;127,00;249,00;;42435,00;All Wheel Drive;7-speed automatic (S tronic);42374,00;42555,00;42586,00;4727,00;1842,00;1427,00;1,00;5721,00;554,00;2819,00;119,00;17;481;0.27;1695;2190
ASTON MARTIN Vanquish 5.9l V12 (573);v12;5935,00;421 @ 6750;620 @ 5500;Direct Fuel Injection;Gasoline;335,00;295,00;;42373,00;Rear Wheel Drive;six-speed automatic (Touchtronic 2);42599,00;42498,00;12,00;4719,00;2068,00;1280,00;-;2741,00;-;13,00;368,00;-;1739;-;;
PEUGEOT 208 5 doors 1.0 PureTech 5MT (68);L3;999,00;50 @ 6000;95 @ 3000;Multipoint Injection;Gasoline;102,00;166,00;;14,00;Front Wheel Drive;5-speed manual;42405,00;42616,00;42464,00;3965,00;1740,00;1461,00;1,00;4661,00;450,00;2537,00;-;11;311;0.31;1035;-
