BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 6MT (163),L4,1995,120 @ 4000,400 @ 1750-2250,Turbocharged Common Rail,Diesel,113,230,,7.9,Rear Wheel Drive,6-speed manual,5.2,3.8,4.3,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.24,1420,1970
BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 8AT (163),L4,1995,120 @ 4000,400 @ 1750-2250,Turbocharged Common Rail,Diesel,109,225,,7.8,Rear Wheel Drive,8-speed automatic (Steptronic),5,3.6,4.1,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.24,1430,1980
BMW 3 Series Sedan (F30) LCI 320d xDrive 8AT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,123,229,,7.3,All Wheel Drive,8-speed automatic (Steptronic),5.5,4.2,4.7,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.27,1535,2110
BMW 3 Series Sedan (F30) LCI 325d 6MT (218),L4,1995,160 @ 4400,450 @ 1500-2500,Turbocharged Common Rail,Diesel,132,245,,6.8,Rear Wheel Drive,6-speed manual,6.2,4.3,5,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.28,1475,2035
BMW 3 Series Sedan (F30) LCI 325d 8AT (218),L4,1995,160 @ 4400,450 @ 1500-2500,Turbocharged Common Rail,Diesel,125,245,,6.6,Rear Wheel Drive,8-speed automatic (Steptronic),5.8,4.2,4.8,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.28,1490,2050
BMW 3 Series Sedan (F30) LCI 330d 8AT (258),L4,2993,190 @ 4000,560 @ 1500-3000,Turbocharged Common Rail,Diesel,131,249,,5.6,Rear Wheel Drive,8-speed automatic (Steptronic),6,4.6,5,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.28,1540,2090
BMW 3 Series Sedan (F30) LCI 330d xDrive 8AT (258),L4,2993,190 @ 4000,560 @ 1500-3000,Turbocharged Common Rail,Diesel,139,249,,5.3,All Wheel Drive,8-speed automatic (Steptronic),6.1,4.8,5.3,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.29,1615,2165
BMW 3 Series Sedan (F30) LCI 335d xDrive 8AT (313),L4,2993,230 @ 4400,630 @ 1500-2500,Turbocharged Common Rail,Diesel,145,249,,4.8,All Wheel Drive,8-speed automatic (Steptronic),6.5,4.9,5.5,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.29,1630,2180
BMW 3 Series Sedan (F30) LCI 350d xDrive 6MT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,126,233,,7.4,All Wheel Drive,6-speed manual,5.8,4.2,4.8,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.27,1515,2090
BMW 3 Series Sedan (F30) LCI 330e 8AT (252),L4,1998,135.3 @ 5000-6500,290 @ 1350-4250,Turbocharged Direct Injection,Hybrid,49,225,,6.1,Rear Wheel Drive,8-speed automatic (Steptronic),-,-,2.1,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.27,1660,2195
AUDI A4 1.4 TFSI 6MT (150),L4,1395,110.3 @ 5000-6000,250 @ 1500-3500,Turbocharged Direct Injection,Gasoline,131,209,,8.7,Front Wheel Drive,6-speed manual,7,4.8,5.5,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1395,1890
AUDI A4 1.4 TFSI 7AT (150),L4,1395,110.3 @ 5000-6000,250 @ 1500-3500,Turbocharged Direct Injection,Gasoline,129,209,,8.5,Front Wheel Drive,7-speed automatic (S tronic),7.1,4.7,5.6,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1450,1945
AUDI A4 2.0 TFSI 7AT (252),L4,1984,185.4 @ 5000-6000,370 @ 1600-4500,Turbocharged Direct Injection,Gasoline,137,249,,6.3,Front Wheel Drive,7-speed automatic (S tronic),7.4,5,5.9,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1505,2000
AUDI A4 2.0 TFSI quattro 7AT (252),L4,1984,185.4 @ 5000-6000,370 @ 1600-4500,Turbocharged Direct Injection,Gasoline,144,249,,5.8,All Wheel Drive,7-speed automatic (S tronic),7.9,5.4,6.3,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1585,2080
AUDI A4 2.0 TFSI ultra 6MT (190),L4,1984,139.7 @ 4200-6000,320 @ 1450-4200,Turbocharged Direct Injection,Gasoline,134,240,,7.2,Front Wheel Drive,6-speed manual,7.4,5,5.9,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1455,1960
AUDI A4 2.0 TFSI ultra 7AT (190),L4,1984,139.7 @ 4200-6000,320 @ 1450-4200,Turbocharged Direct Injection,Gasoline,122,240,,7.3,Front Wheel Drive,7-speed automatic (S tronic),6.6,4,5.4,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1480,1985
AUDI A4 2.0 TDI 6MT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,111,220,,8.9,Front Wheel Drive,6-speed manual,5,3.9,4.2,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1505,2030
AUDI A4 2.0 TDI 6MT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,118,240,,7.7,Front Wheel Drive,6-speed manual,5.4,4.1,4.5,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1525,2045
AUDI A4 2.0 TDI 7AT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,112,219,,8.7,Front Wheel Drive,7-speed automatic (S tronic),5.1,3.9,4.3,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1540,2065
AUDI A4 2.0 TDI 7AT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,113,237,,7.7,Front Wheel Drive,7-speed automatic (S tronic),5,3.9,4.3,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1555,2075
AUDI A4 2.0 TDI quattro 7AT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,121,235,,7.2,All Wheel Drive,7-speed automatic (S tronic),5.3,4.3,4.6,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1650,2160
AUDI A4 2.0 TDI ultra 6MT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,101,209,,8.9,Front Wheel Drive,6-speed manual,4.6,3.5,3.9,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1505,2030
AUDI A4 2.0 TDI ultra 6MT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,102,209,,7.7,Front Wheel Drive,6-speed manual,4.8,3.5,3.9,4727,1842,1427,"1,572/1,554",2819,119,17,481,0.27,1505,2040
