+BMW 3 Series Sedan (F30) LCI 330d 8AT (258),L4,2993,190 @ 4000 RPM,560 Nm @ 1500-3000 RPM,Turbocharged Common Rail,Diesel,131 g/km,249 km/h,5.6 s,Rear Wheel Drive,8-speed automatic (Steptronic),6 L/100Km,4.6 L/100Km,5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.28,1540 kg,2090 kg
+BMW 3 Series Sedan (F30) LCI 330d xDrive 8AT (258),L4,2993,190 @ 4000 RPM,560 Nm @ 1500-3000 RPM,Turbocharged Common Rail,Diesel,139 g/km,249 km/h,5.3 s,All Wheel Drive,8-speed automatic (Steptronic),6.1 L/100Km,4.8 L/100Km,5.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1615 kg,2165 kg
+BMW 3 Series Sedan (F30) LCI 335d xDrive 8AT (313),L4,2993,230 @ 4400 RPM,630 Nm @ 1500-2500 RPM,Turbocharged Common Rail,Diesel,145 g/km,249 km/h,4.8 s,All Wheel Drive,8-speed automatic (Steptronic),6.5 L/100Km,4.9 L/100Km,5.5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1630 kg,2180 kg
+BMW 3 Series Sedan (F30) LCI 350d xDrive 6MT (190),L4,1995,139 @ 4000 RPM,400 Nm @ 1750-2500 RPM,Turbocharged Common Rail,Diesel,126 g/km,233 km/h,7.4 s,All Wheel Drive,6-speed manual,5.8 L/100Km,4.2 L/100Km,4.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1515 kg,2090 kg
+BMW 3 Series Sedan (F30) LCI 330e 8AT (252),L4,1998,135.3 @ 5000-6500 RPM,290 Nm @ 1350-4250 RPM,Turbocharged Direct Injection,Hybrid,49 g/km,225 km/h,6.1 s,Rear Wheel Drive,8-speed automatic (Steptronic),-,-,2.1 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1660 kg,2195 kg
+AUDI A4 1.4 TFSI 6MT (150),L4,1395,110.3 @ 5000-6000 RPM,250 Nm @ 1500-3500 RPM,Turbocharged Direct Injection,Gasoline,131 g/km,209 km/h,8.7 s,Front Wheel Drive,6-speed manual,7 L/100Km,4.8 L/100Km,5.5 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1395 kg,1890 kg
+AUDI A4 1.4 TFSI 7AT (150),L4,1395,110.3 @ 5000-6000 RPM,250 Nm @ 1500-3500 RPM,Turbocharged Direct Injection,Gasoline,129 g/km,209 km/h,8.5 s,Front Wheel Drive,7-speed automatic (S tronic),7.1 L/100Km,4.7 L/100Km,5.6 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1450 kg,1945 kg
+AUDI A4 2.0 TFSI 7AT (252),L4,1984,185.4 @ 5000-6000 RPM,370 Nm @ 1600-4500 RPM,Turbocharged Direct Injection,Gasoline,137 g/km,249 km/h,6.3 s,Front Wheel Drive,7-speed automatic (S tronic),7.4 L/100Km,5 L/100Km,5.9 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1505 kg,2000 kg
+AUDI A4 2.0 TFSI quattro 7AT (252),L4,1984,185.4 @ 5000-6000 RPM,370 Nm @ 1600-4500 RPM,Turbocharged Direct Injection,Gasoline,144 g/km,249 km/h,5.8 s,All Wheel Drive,7-speed automatic (S tronic),7.9 L/100Km,5.4 L/100Km,6.3 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1585 kg,2080 kg
+AUDI A4 2.0 TFSI ultra 6MT (190),L4,1984,139.7 @ 4200-6000 RPM,320 Nm @ 1450-4200 RPM,Turbocharged Direct Injection,Gasoline,134 g/km,240 km/h,7.2 s,Front Wheel Drive,6-speed manual,7.4 L/100Km,5 L/100Km,5.9 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1455 kg,1960 kg
