+BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 6MT (163),L4,1995,120 @ 4000,400 @ 1750-2250,Turbocharged Common Rail,Diesel,113,230,7.9 s,Rear Wheel Drive,6-speed manual,5.2 L/100Km,3.8 L/100Km,4.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.24,1420 kg,1970 kg
+BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 8AT (163),L4,1995,120 @ 4000,400 @ 1750-2250,Turbocharged Common Rail,Diesel,109,225,7.8 s,Rear Wheel Drive,8-speed automatic (Steptronic),5 L/100Km,3.6 L/100Km,4.1 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.24,1430 kg,1980 kg
+BMW 3 Series Sedan (F30) LCI 320d xDrive 8AT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,123,229,7.3 s,All Wheel Drive,8-speed automatic (Steptronic),5.5 L/100Km,4.2 L/100Km,4.7 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1535 kg,2110 kg
+BMW 3 Series Sedan (F30) LCI 325d 6MT (218),L4,1995,160 @ 4400,450 @ 1500-2500,Turbocharged Common Rail,Diesel,132,245,6.8 s,Rear Wheel Drive,6-speed manual,6.2 L/100Km,4.3 L/100Km,5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.28,1475 kg,2035 kg
+BMW 3 Series Sedan (F30) LCI 325d 8AT (218),L4,1995,160 @ 4400,450 @ 1500-2500,Turbocharged Common Rail,Diesel,125,245,6.6 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.8 L/100Km,4.2 L/100Km,4.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.28,1490 kg,2050 kg
+BMW 3 Series Sedan (F30) LCI 330d 8AT (258),L4,2993,190 @ 4000,560 @ 1500-3000,Turbocharged Common Rail,Diesel,131,249,5.6 s,Rear Wheel Drive,8-speed automatic (Steptronic),6 L/100Km,4.6 L/100Km,5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.28,1540 kg,2090 kg
+BMW 3 Series Sedan (F30) LCI 330d xDrive 8AT (258),L4,2993,190 @ 4000,560 @ 1500-3000,Turbocharged Common Rail,Diesel,139,249,5.3 s,All Wheel Drive,8-speed automatic (Steptronic),6.1 L/100Km,4.8 L/100Km,5.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1615 kg,2165 kg
+BMW 3 Series Sedan (F30) LCI 335d xDrive 8AT (313),L4,2993,230 @ 4400,630 @ 1500-2500,Turbocharged Common Rail,Diesel,145,249,4.8 s,All Wheel Drive,8-speed automatic (Steptronic),6.5 L/100Km,4.9 L/100Km,5.5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1630 kg,2180 kg
+BMW 3 Series Sedan (F30) LCI 350d xDrive 6MT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,126,233,7.4 s,All Wheel Drive,6-speed manual,5.8 L/100Km,4.2 L/100Km,4.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1515 kg,2090 kg
+BMW 3 Series Sedan (F30) LCI 330e 8AT (252),L4,1998,135.3 @ 5000-6500,290 @ 1350-4250,Turbocharged Direct Injection,Hybrid,49,225,6.1 s,Rear Wheel Drive,8-speed automatic (Steptronic),-,-,2.1 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1660 kg,2195 kg
+AUDI A4 1.4 TFSI 6MT (150),L4,1395,110.3 @ 5000-6000,250 @ 1500-3500,Turbocharged Direct Injection,Gasoline,131,209,8.7 s,Front Wheel Drive,6-speed manual,7 L/100Km,4.8 L/100Km,5.5 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1395 kg,1890 kg
+AUDI A4 1.4 TFSI 7AT (150),L4,1395,110.3 @ 5000-6000,250 @ 1500-3500,Turbocharged Direct Injection,Gasoline,129,209,8.5 s,Front Wheel Drive,7-speed automatic (S tronic),7.1 L/100Km,4.7 L/100Km,5.6 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1450 kg,1945 kg
+AUDI A4 2.0 TFSI 7AT (252),L4,1984,185.4 @ 5000-6000,370 @ 1600-4500,Turbocharged Direct Injection,Gasoline,137,249,6.3 s,Front Wheel Drive,7-speed automatic (S tronic),7.4 L/100Km,5 L/100Km,5.9 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1505 kg,2000 kg
